METODO; GRAD; HESS; SISTLIN
3.3315; 0; 0; 477.9291
43.8471; 0; 0; 1053.7058
105.6146; 0; 0; 1122.8992
165.5773; 0; 0; 1173.2723
349.2178; 0; 0; 1212.2535
471.1674; 0; 0; 1201.1438
680.1760; 0; 0; 1123.4888
760.8142; 0; 0; 1088.2170
769.0008; 0; 0; 1086.8024
809.0771; 0; 0; 1063.9494
857.6947; 0; 0; 1032.5178
879.3418; 0; 0; 1011.1101
888.2350; 0; 0; 1001.4968
871.2609; 0; 0; 947.1692
871.4640; 0; 0; 946.7089
871.6901; 0; 0; 934.3376
871.0788; 0; 0; 933.6283
871.0895; 0; 0; 931.3353
871.5641; 0; 0; 930.6079
